state,county,med_prop_tax_paid,med_housing_value,prop_tax_rate
Alabama,Autauga County,627,207200.0,0.28
Alabama,Baldwin County,960,316900.0,0.29
Alabama,Barbour County,462,112900.0,0.31
Alabama,Bibb County,298,145700.0,0.2
Alabama,Blount County,523,175200.0,0.27
Alabama,Bullock County,332,81700.0,0.32
Alabama,Butler County,362,99800.0,0.26
Alabama,Calhoun County,653,156600.0,0.33
Alabama,Chambers County,523,135800.0,0.29
Alabama,Cherokee County,688,179700.0,0.32
Alabama,Chilton County,537,161300.0,0.32
Alabama,Choctaw County,207,123400.0,0.18
Alabama,Clarke County,396,121700.0,0.28
Alabama,Clay County,331,156700.0,0.2
Alabama,Cleburne County,486,165600.0,0.24
Alabama,Coffee County,677,188600.0,0.3
Alabama,Colbert County,678,171000.0,0.3
Alabama,Conecuh County,331,105300.0,0.25
Alabama,Coosa County,315,115500.0,0.2
Alabama,Covington County,397,152100.0,0.2
Alabama,Crenshaw County,369,114000.0,0.28
Alabama,Cullman County,516,199100.0,0.21
Alabama,Dale County,457,143500.0,0.28
Alabama,Dallas County,392,94600.0,0.36
Alabama,DeKalb County,496,152700.0,0.24
Alabama,Elmore County,610,223900.0,0.25
Alabama,Escambia County,530,136500.0,0.27
Alabama,Etowah County,645,167100.0,0.32
Alabama,Fayette County,355,125900.0,0.21
Alabama,Franklin County,433,136000.0,0.33
Alabama,Geneva County,447,130700.0,0.24
Alabama,Greene County,444,81200.0,0.24
Alabama,Hale County,406,127600.0,0.19
Alabama,Henry County,553,161000.0,0.25
Alabama,Houston County,562,183300.0,0.29
Alabama,Jackson County,480,159500.0,0.25
Alabama,Jefferson County,1409,240000.0,0.58
Alabama,Lamar County,274,114000.0,0.24
Alabama,Lauderdale County,757,200300.0,0.32
Alabama,Lawrence County,497,172300.0,0.25
Alabama,Lee County,1252,262200.0,0.39
Alabama,Limestone County,900,281000.0,0.32
Alabama,Lowndes County,337,86300.0,0.31
Alabama,Macon County,509,102000.0,0.41
Alabama,Madison County,1185,299200.0,0.39
Alabama,Marengo County,409,107400.0,0.31
Alabama,Marion County,301,106600.0,0.24
Alabama,Marshall County,733,201500.0,0.3
Alabama,Mobile County,888,190700.0,0.43
Alabama,Monroe County,381,120600.0,0.21
Alabama,Montgomery County,702,171900.0,0.36
Alabama,Morgan County,718,212000.0,0.31
Alabama,Perry County,281,86400.0,0.23
Alabama,Pickens County,364,123900.0,0.21
Alabama,Pike County,424,157600.0,0.24
Alabama,Randolph County,452,181600.0,0.27
Alabama,Russell County,629,165700.0,0.38
Alabama,St. Clair County,724,226300.0,0.28
Alabama,Shelby County,1423,326100.0,0.42
Alabama,Sumter County,359,82600.0,0.28
Alabama,Talladega County,544,149200.0,0.29
Alabama,Tallapoosa County,481,158500.0,0.24
Alabama,Tuscaloosa County,795,248700.0,0.31
Alabama,Walker County,356,135900.0,0.23
Alabama,Washington County,365,159700.0,0.23
Alabama,Wilcox County,319,98800.0,0.25
Alabama,Winston County,380,118900.0,0.21
Alaska,Aleutians East Borough,200-,135500.0,
Alaska,Aleutians West Census Area,3090,434700.0,0.7
Alaska,Anchorage Municipality,4982,395900.0,1.17
Alaska,Bethel Census Area,200-,168100.0,
Alaska,Bristol Bay Borough,2045,245800.0,0.44
Alaska,Chugach Census Area,3379,346200.0,0.91
Alaska,Copper River Census Area,200-,292800.0,0.04
Alaska,Denali Borough,-,275000.0,0.14
Alaska,Dillingham Census Area,2738,159000.0,0.46
Alaska,Fairbanks North Star Borough,3550,298200.0,1.11
Alaska,Haines Borough,2445,293300.0,0.69
Alaska,Hoonah-Angoon Census Area,1136,262800.0,0.03
Alaska,Juneau City and Borough,4251,449300.0,0.88
Alaska,Kenai Peninsula Borough,2049,323200.0,0.54
Alaska,Ketchikan Gateway Borough,2619,393300.0,0.66
Alaska,Kodiak Island Borough,3569,412300.0,0.7
Alaska,Kusilvak Census Area,200-,84300.0,0.01
Alaska,Lake and Peninsula Borough,-,237500.0,
Alaska,Matanuska-Susitna Borough,3685,346600.0,0.9
Alaska,Nome Census Area,3264,211200.0,0.46
Alaska,North Slope Borough,2305,218300.0,0.49
Alaska,Northwest Arctic Borough,200-,199100.0,0.0
Alaska,Petersburg Borough,1896,315100.0,0.55
Alaska,Prince of Wales-Hyder Census Area,1139,225300.0,0.09
Alaska,Sitka City and Borough,2080,450300.0,0.37
Alaska,Skagway Municipality,1634,435400.0,0.41
Alaska,Southeast Fairbanks Census Area,3350,282000.0,
Alaska,Wrangell City and Borough,1673,296400.0,0.45
Alaska,Yakutat City and Borough,1463,219400.0,0.35
Alaska,Yukon-Koyukuk Census Area,1109,98500.0,0.06
Arizona,Apache County,572,63700.0,0.21
Arizona,Cochise County,1310,218300.0,0.61
Arizona,Coconino County,2051,448000.0,0.39
Arizona,Gila County,1386,269400.0,0.55
Arizona,Graham County,1013,212000.0,0.47
Arizona,Greenlee County,518,158600.0,0.28
Arizona,La Paz County,873,135800.0,0.47
Arizona,Maricopa County,1983,452800.0,0.44
Arizona,Mohave County,1238,281000.0,0.43
Arizona,Navajo County,1195,201500.0,0.39
Arizona,Pima County,2272,319700.0,0.7
Arizona,Pinal County,1636,349000.0,0.5
Arizona,Santa Cruz County,1415,233000.0,0.62
Arizona,Yavapai County,1750,425200.0,0.4
Arizona,Yuma County,1333,217800.0,0.61
Arkansas,Arkansas County,745,138100.0,0.56
Arkansas,Ashley County,554,91900.0,0.53
Arkansas,Baxter County,799,174600.0,0.47
Arkansas,Benton County,1823,323500.0,0.57
Arkansas,Boone County,927,188900.0,0.52
Arkansas,Bradley County,545,94800.0,0.53
Arkansas,Calhoun County,515,110700.0,0.39
Arkansas,Carroll County,1082,210400.0,0.52
Arkansas,Chicot County,436,89100.0,0.54
Arkansas,Clark County,871,155000.0,0.46
Arkansas,Clay County,470,94600.0,0.46
Arkansas,Cleburne County,815,179800.0,0.47
Arkansas,Cleveland County,667,137600.0,0.54
Arkansas,Columbia County,718,152100.0,0.46
Arkansas,Conway County,862,154100.0,0.54
Arkansas,Craighead County,1125,210400.0,0.54
Arkansas,Crawford County,982,182800.0,0.53
Arkansas,Crittenden County,987,160200.0,0.67
Arkansas,Cross County,596,117500.0,0.57
Arkansas,Dallas County,547,97300.0,0.51
Arkansas,Desha County,493,90900.0,0.59
Arkansas,Drew County,664,140800.0,0.52
Arkansas,Faulkner County,1253,232700.0,0.53
Arkansas,Franklin County,645,130800.0,0.54
Arkansas,Fulton County,533,113800.0,0.45
Arkansas,Garland County,933,194300.0,0.48
Arkansas,Grant County,880,161700.0,0.52
Arkansas,Greene County,819,169300.0,0.46
Arkansas,Hempstead County,601,105700.0,0.48
Arkansas,Hot Spring County,724,151100.0,0.58
Arkansas,Howard County,639,153900.0,0.46
Arkansas,Independence County,750,142600.0,0.51
Arkansas,Izard County,731,129100.0,0.51
Arkansas,Jackson County,559,98300.0,0.5
Arkansas,Jefferson County,745,113400.0,0.63
Arkansas,Johnson County,709,135300.0,0.51
