state,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets
Alabama,2.00,0,2.00,0
Alabama,4.00,500,4.00,1000
Alabama,5.00,3000,5.00,6000
Arizona,2.50,0,2.50,0
Arkansas,2.00,0,2.00,0
Arkansas,3.90,4600,3.90,4600
California,1.00,0,1.00,0
California,2.00,11079,2.00,22158
California,4.00,26264,4.00,52528
California,6.00,41452,6.00,82904
California,8.00,57542,8.00,115084
California,9.30,72724,9.30,145448
California,10.30,371479,10.30,742958
California,11.30,445771,11.30,891542
California,12.30,742953,12.30,1000000
California,13.30,1000000,13.30,1485906
Colorado,4.40,0,4.40,0
Connecticut,2.00,0,2.00,0
Connecticut,4.50,10000,4.50,20000
Connecticut,5.50,50000,5.50,100000
Connecticut,6.00,100000,6.00,200000
Connecticut,6.50,200000,6.50,400000
Connecticut,6.90,250000,6.90,500000
Connecticut,6.99,500000,6.99,1000000
Delaware,2.20,2000,2.20,2000
Delaware,3.90,5000,3.90,5000
Delaware,4.80,10000,4.80,10000
Delaware,5.20,20000,5.20,20000
Delaware,5.55,25000,5.55,25000
Delaware,6.60,60000,6.60,60000
Georgia,5.19,0,5.19,0
Hawaii,1.40,0,1.40,0
Hawaii,3.20,9600,3.20,19200
Hawaii,5.50,14400,5.50,28800
Hawaii,6.40,19200,6.40,38400
Hawaii,6.80,24000,6.80,48000
Hawaii,7.20,36000,7.20,72000
Hawaii,7.60,48000,7.60,96000
Hawaii,7.90,125000,7.90,250000
Hawaii,8.25,175000,8.25,350000
Hawaii,9.00,225000,9.00,450000
Hawaii,10.00,275000,10.00,550000
Hawaii,11.00,325000,11.00,650000
Idaho,5.30,4811,5.30,9622
Illinois,4.95,0,4.95,0
Indiana,2.95,0,2.95,0
Iowa,3.80,0,3.80,0
Kansas,5.20,0,5.20,0
Kansas,5.58,23000,5.58,46000
Kentucky,3.50,0,3.50,0
Louisiana,3.00,0,3.00,0
Maine,5.80,0,5.80,0
Maine,6.75,27399,6.75,54849
Maine,7.15,64849,7.15,129749
Maryland,2.00,0,2.00,0
Maryland,3.00,1000,3.00,1000
Maryland,4.00,2000,4.00,2000
Maryland,4.75,3000,4.75,3000
Maryland,5.00,100000,5.00,150000
Maryland,5.25,125000,5.25,175000
Maryland,5.50,150000,5.50,225000
Maryland,5.75,250000,5.75,300000
Maryland,6.25,500000,6.25,600000
Maryland,6.50,1000000,6.50,1200000
Massachusetts,5.00,0,5.00,0
Massachusetts,9.00,1083150,9.00,1083150
Michigan,4.25,0,4.25,0
Minnesota,5.35,0,5.35,0
Minnesota,6.80,33310,6.80,48700
Minnesota,7.85,109430,7.85,193480
Minnesota,9.85,203150,9.85,337930
Mississippi,4.00,10000,4.00,10000
Missouri,2.00,1348,2.00,1348
Missouri,2.50,2696,2.50,2696
Missouri,3.00,4044,3.00,4044
Missouri,3.50,5392,3.50,5392
Missouri,4.00,6740,4.00,6740
Missouri,4.50,8088,4.50,8088
Missouri,4.70,9436,4.70,9436
Montana,4.70,0,4.70,0
Montana,5.65,47500,5.65,95000
Nebraska,2.46,0,2.46,0
Nebraska,3.51,4130,3.51,8250
Nebraska,4.55,24760,4.55,49530
New Jersey,1.40,0,1.40,0
New Jersey,1.75,20000,1.75,20000
New Jersey,3.50,35000,2.45,50000
New Jersey,5.53,40000,3.50,70000
New Jersey,6.37,75000,5.53,80000
New Jersey,8.97,500000,6.37,150000
New Jersey,10.75,1000000,8.97,500000
New Mexico,1.50,0,1.50,0
New Mexico,3.20,5500,3.20,8000
New Mexico,4.30,16500,4.30,25000
New Mexico,4.70,33500,4.70,50000
New Mexico,4.90,66500,4.90,100000
New Mexico,5.90,210000,5.90,315000
New York,3.90,0,3.90,0
New York,4.40,8500,4.40,17150
New York,5.15,11700,5.15,23600
New York,5.40,13900,5.40,27900
New York,5.90,80650,5.90,161550
New York,6.85,215400,6.85,323200
New York,9.65,1077550,9.65,2155350
New York,10.30,5000000,10.30,5000000
New York,10.90,25000000,10.90,25000000
North Carolina,3.99,0,3.99,0
North Dakota,1.95,48475,1.95,80975
North Dakota,2.50,244825,2.50,298075
Ohio,2.75,26050,2.75,26050
Oklahoma,2.50,3750,2.50,7500
Oklahoma,3.50,4900,3.50,9800
Oklahoma,4.50,7200,4.50,14400
Oregon,4.75,0,4.75,0
Oregon,6.75,4550,6.75,9100
Oregon,8.75,11400,8.75,22800
Oregon,9.90,125000,9.90,250000
Pennsylvania,3.07,0,3.07,0
Rhode Island,3.75,0,3.75,0
Rhode Island,4.75,82050,4.75,82050
Rhode Island,5.99,186450,5.99,186450
South Carolina,0.00,0,0.00,0
South Carolina,3.00,3640,3.00,3640
South Carolina,6.00,18230,6.00,18230
Utah,4.50,0,4.50,0
Vermont,3.35,0,3.35,0
Vermont,6.60,49400,6.60,82500
Vermont,7.60,119700,7.60,199450
Vermont,8.75,249700,8.75,304000
Virginia,2.00,0,2.00,0
Virginia,3.00,3000,3.00,3000
Virginia,5.00,5000,5.00,5000
Virginia,5.75,17000,5.75,17000
Washington,7,0,7,0
Washington,9,1000000,9,1000000
West Virginia,2.22,0,2.22,0
West Virginia,2.96,10000,2.96,10000
West Virginia,3.33,25000,3.33,25000
West Virginia,4.44,40000,4.44,40000
West Virginia,4.82,60000,4.82,60000
Wisconsin,3.50,0,3.50,0
Wisconsin,4.40,15110,4.40,20150
Wisconsin,5.30,51950,5.30,69260
Wisconsin,7.65,332720,7.65,443630
Washington DC,4.00,0,4.00,0
Washington DC,6.00,10000,6.00,10000
Washington DC,6.50,40000,6.50,40000
Washington DC,8.50,60000,8.50,60000
Washington DC,9.25,250000,9.25,250000
Washington DC,9.75,500000,9.75,500000
Washington DC,10.75,1000000,10.75,1000000
