Unnamed: 0,zpid,address,price,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,is_featured,street_add,city,state_zipcode,state_code,zipcode,state_name,state_median_housing_value,state_median_prop_tax_rate,med_prop_tax_paid,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,state_avg_median_income
0,17264897,"979 Kevin Ave, Redlands, CA 92373",447000,3,2,1300,34.04052,-117.186195,House for sale,SINGLE_FAMILY,5,455500,https://www.zillow.com/homedetails/979-Kevin-Ave-Redlands-CA-92373/17264897_zpid/,FALSE,FALSE,979 Kevin Ave,Redlands,CA 92373,CA,92373,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
1,20021372,"13114 Addison St, Sherman Oaks, CA 91423",2795000,4,5,2900,34.160885,-118.41877,House for sale,SINGLE_FAMILY,8,,https://www.zillow.com/homedetails/13114-Addison-St-Sherman-Oaks-CA-91423/20021372_zpid/,TRUE,FALSE,13114 Addison St,Sherman Oaks,CA 91423,CA,91423,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
2,20009320,"6032 Goodland Ave, North Hollywood, CA 91606",1718000,4,3,3025,34.18045,-118.41128,House for sale,SINGLE_FAMILY,8,1695500,https://www.zillow.com/homedetails/6032-Goodland-Ave-North-Hollywood-CA-91606/20009320_zpid/,FALSE,FALSE,6032 Goodland Ave,North Hollywood,CA 91606,CA,91606,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
3,460204882,"3325 Tonopah St, Oceanside, CA 92054",899999,3,3,1682,33.21426,-117.3415,Coming soon,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/3325-Tonopah-St-Oceanside-CA-92054/460204882_zpid/,FALSE,FALSE,3325 Tonopah St,Oceanside,CA 92054,CA,92054,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
4,20769150,"963 Pine Grove Ave, Los Angeles, CA 90042",995000,2,2,1271,34.13289,-118.18622,House for sale,SINGLE_FAMILY,5,999900,https://www.zillow.com/homedetails/963-Pine-Grove-Ave-Los-Angeles-CA-90042/20769150_zpid/,FALSE,FALSE,963 Pine Grove Ave,Los Angeles,CA 90042,CA,90042,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
5,18728475,"3672 W Garland Ave, Fresno, CA 93722",349900,3,2,1340,36.785095,-119.859505,House for sale,SINGLE_FAMILY,5,355100,https://www.zillow.com/homedetails/3672-W-Garland-Ave-Fresno-CA-93722/18728475_zpid/,FALSE,FALSE,3672 W Garland Ave,Fresno,CA 93722,CA,93722,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
6,17514860,"1931 Eloise Way, Upland, CA 91784",989999,4,2,2219,34.133514,-117.666435,House for sale,SINGLE_FAMILY,4,986300,https://www.zillow.com/homedetails/1931-Eloise-Way-Upland-CA-91784/17514860_zpid/,FALSE,FALSE,1931 Eloise Way,Upland,CA 91784,CA,91784,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
7,17862478,"16066 Rancho Verde Cir, Riverside, CA 92506",1070000,4,3,3840,33.89344,-117.382324,House for sale,SINGLE_FAMILY,391,1084400,https://www.zillow.com/homedetails/16066-Rancho-Verde-Cir-Riverside-CA-92506/17862478_zpid/,FALSE,FALSE,16066 Rancho Verde Cir,Riverside,CA 92506,CA,92506,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
8,447319303,"2330 Maximilian Dr, Campbell, CA 95008",1899000,3,2,1540,37.278885,-121.966995,House for sale,SINGLE_FAMILY,4,1928700,https://www.zillow.com/homedetails/2330-Maximilian-Dr-Campbell-CA-95008/447319303_zpid/,TRUE,FALSE,2330 Maximilian Dr,Campbell,CA 95008,CA,95008,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
9,19052066,"7125 Yuma Way, Bakersfield, CA 93308",459000,4,3,2045,35.40357,-119.080414,House for sale,SINGLE_FAMILY,9,458600,https://www.zillow.com/homedetails/7125-Yuma-Way-Bakersfield-CA-93308/19052066_zpid/,FALSE,FALSE,7125 Yuma Way,Bakersfield,CA 93308,CA,93308,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
10,25063400,"7761 Ironwood Dr, Dublin, CA 94568",1095000,3,2,1566,37.71317,-121.932625,House for sale,SINGLE_FAMILY,3,1143600,https://www.zillow.com/homedetails/7761-Ironwood-Dr-Dublin-CA-94568/25063400_zpid/,TRUE,FALSE,7761 Ironwood Dr,Dublin,CA 94568,CA,94568,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
11,17123321,"342 Billow Dr, San Diego, CA 92114",699000,4,2,1487,32.70806,-117.022575,House for sale,SINGLE_FAMILY,29,706600,https://www.zillow.com/homedetails/342-Billow-Dr-San-Diego-CA-92114/17123321_zpid/,TRUE,FALSE,342 Billow Dr,San Diego,CA 92114,CA,92114,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
12,20729290,"8805 Arcadia Ave, San Gabriel, CA 91775",899000,3,2,1526,34.12554,-118.07739,House for sale,SINGLE_FAMILY,5,941700,https://www.zillow.com/homedetails/8805-Arcadia-Ave-San-Gabriel-CA-91775/20729290_zpid/,FALSE,FALSE,8805 Arcadia Ave,San Gabriel,CA 91775,CA,91775,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
13,17872422,"23618 Narcissus Cir, Moreno Valley, CA 92557",899900,4,4,3270,33.972664,-117.251686,House for sale,SINGLE_FAMILY,5,894000,https://www.zillow.com/homedetails/23618-Narcissus-Cir-Moreno-Valley-CA-92557/17872422_zpid/,FALSE,FALSE,23618 Narcissus Cir,Moreno Valley,CA 92557,CA,92557,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
14,19007604,"11201 Moorgate St, Bakersfield, CA 93311",759900,4,4,3415,35.336815,-119.12674,House for sale,SINGLE_FAMILY,8,740900,https://www.zillow.com/homedetails/11201-Moorgate-St-Bakersfield-CA-93311/19007604_zpid/,FALSE,FALSE,11201 Moorgate St,Bakersfield,CA 93311,CA,93311,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
15,79791503,"3073 Orbetello Way, El Dorado Hills, CA 95762",1650000,5,4,4852,38.69728,-121.09026,House for sale,SINGLE_FAMILY,3,1595300,https://www.zillow.com/homedetails/3073-Orbetello-Way-El-Dorado-Hills-CA-95762/79791503_zpid/,TRUE,FALSE,3073 Orbetello Way,El Dorado Hills,CA 95762,CA,95762,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
16,20955215,"8912 S Fir Ave, Los Angeles, CA 90002",599000,3,2,1334,33.95548,-118.23691,House for sale,SINGLE_FAMILY,92,605700,https://www.zillow.com/homedetails/8912-S-Fir-Ave-Los-Angeles-CA-90002/20955215_zpid/,TRUE,FALSE,8912 S Fir Ave,Los Angeles,CA 90002,CA,90002,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
17,21549028,"523 N Larkin Dr, Covina, CA 91722",785000,3,2,1282,34.090176,-117.900314,House for sale,SINGLE_FAMILY,5,790600,https://www.zillow.com/homedetails/523-N-Larkin-Dr-Covina-CA-91722/21549028_zpid/,FALSE,FALSE,523 N Larkin Dr,Covina,CA 91722,CA,91722,California,481100,0.69,3293.5,9.3,72724,9.3,145448,98741.5
