,zpid,address,price,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,is_featured,street_add,city,state_zipcode,state_code,zipcode,state_name
0,17264897,"979 Kevin Ave, Redlands, CA 92373",447000,3.0,2.0,1300.0,34.04052,-117.186195,House for sale,SINGLE_FAMILY,5,455500.0,https://www.zillow.com/homedetails/979-Kevin-Ave-Redlands-CA-92373/17264897_zpid/,False,False,979 Kevin Ave,Redlands,CA 92373,CA,92373,California
1,20021372,"13114 Addison St, Sherman Oaks, CA 91423",2795000,4.0,5.0,2900.0,34.160885,-118.41877,House for sale,SINGLE_FAMILY,8,,https://www.zillow.com/homedetails/13114-Addison-St-Sherman-Oaks-CA-91423/20021372_zpid/,True,False,13114 Addison St,Sherman Oaks,CA 91423,CA,91423,California
2,20009320,"6032 Goodland Ave, North Hollywood, CA 91606",1718000,4.0,3.0,3025.0,34.18045,-118.41128,House for sale,SINGLE_FAMILY,8,1695500.0,https://www.zillow.com/homedetails/6032-Goodland-Ave-North-Hollywood-CA-91606/20009320_zpid/,False,False,6032 Goodland Ave,North Hollywood,CA 91606,CA,91606,California
3,460204882,"3325 Tonopah St, Oceanside, CA 92054",899999,3.0,3.0,1682.0,33.21426,-117.3415,Coming soon,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/3325-Tonopah-St-Oceanside-CA-92054/460204882_zpid/,False,False,3325 Tonopah St,Oceanside,CA 92054,CA,92054,California
4,20769150,"963 Pine Grove Ave, Los Angeles, CA 90042",995000,2.0,2.0,1271.0,34.13289,-118.18622,House for sale,SINGLE_FAMILY,5,999900.0,https://www.zillow.com/homedetails/963-Pine-Grove-Ave-Los-Angeles-CA-90042/20769150_zpid/,False,False,963 Pine Grove Ave,Los Angeles,CA 90042,CA,90042,California
5,18728475,"3672 W Garland Ave, Fresno, CA 93722",349900,3.0,2.0,1340.0,36.785095,-119.859505,House for sale,SINGLE_FAMILY,5,355100.0,https://www.zillow.com/homedetails/3672-W-Garland-Ave-Fresno-CA-93722/18728475_zpid/,False,False,3672 W Garland Ave,Fresno,CA 93722,CA,93722,California
6,17514860,"1931 Eloise Way, Upland, CA 91784",989999,4.0,2.0,2219.0,34.133514,-117.666435,House for sale,SINGLE_FAMILY,4,986300.0,https://www.zillow.com/homedetails/1931-Eloise-Way-Upland-CA-91784/17514860_zpid/,False,False,1931 Eloise Way,Upland,CA 91784,CA,91784,California
7,17862478,"16066 Rancho Verde Cir, Riverside, CA 92506",1070000,4.0,3.0,3840.0,33.89344,-117.382324,House for sale,SINGLE_FAMILY,391,1084400.0,https://www.zillow.com/homedetails/16066-Rancho-Verde-Cir-Riverside-CA-92506/17862478_zpid/,False,False,16066 Rancho Verde Cir,Riverside,CA 92506,CA,92506,California
8,447319303,"2330 Maximilian Dr, Campbell, CA 95008",1899000,3.0,2.0,1540.0,37.278885,-121.966995,House for sale,SINGLE_FAMILY,4,1928700.0,https://www.zillow.com/homedetails/2330-Maximilian-Dr-Campbell-CA-95008/447319303_zpid/,True,False,2330 Maximilian Dr,Campbell,CA 95008,CA,95008,California
9,19052066,"7125 Yuma Way, Bakersfield, CA 93308",459000,4.0,3.0,2045.0,35.40357,-119.080414,House for sale,SINGLE_FAMILY,9,458600.0,https://www.zillow.com/homedetails/7125-Yuma-Way-Bakersfield-CA-93308/19052066_zpid/,False,False,7125 Yuma Way,Bakersfield,CA 93308,CA,93308,California
10,25063400,"7761 Ironwood Dr, Dublin, CA 94568",1095000,3.0,2.0,1566.0,37.71317,-121.932625,House for sale,SINGLE_FAMILY,3,1143600.0,https://www.zillow.com/homedetails/7761-Ironwood-Dr-Dublin-CA-94568/25063400_zpid/,True,False,7761 Ironwood Dr,Dublin,CA 94568,CA,94568,California
11,17123321,"342 Billow Dr, San Diego, CA 92114",699000,4.0,2.0,1487.0,32.70806,-117.022575,House for sale,SINGLE_FAMILY,29,706600.0,https://www.zillow.com/homedetails/342-Billow-Dr-San-Diego-CA-92114/17123321_zpid/,True,False,342 Billow Dr,San Diego,CA 92114,CA,92114,California
12,20729290,"8805 Arcadia Ave, San Gabriel, CA 91775",899000,3.0,2.0,1526.0,34.12554,-118.07739,House for sale,SINGLE_FAMILY,5,941700.0,https://www.zillow.com/homedetails/8805-Arcadia-Ave-San-Gabriel-CA-91775/20729290_zpid/,False,False,8805 Arcadia Ave,San Gabriel,CA 91775,CA,91775,California
13,17872422,"23618 Narcissus Cir, Moreno Valley, CA 92557",899900,4.0,4.0,3270.0,33.972664,-117.251686,House for sale,SINGLE_FAMILY,5,894000.0,https://www.zillow.com/homedetails/23618-Narcissus-Cir-Moreno-Valley-CA-92557/17872422_zpid/,False,False,23618 Narcissus Cir,Moreno Valley,CA 92557,CA,92557,California
